date,XLV.US
2020-12-02,101.6491
2020-12-03,101.5214
2020-12-04,102.6064
2020-12-07,101.9773
2020-12-08,102.7523
2020-12-09,102.3967
2020-12-10,102.2235
2020-12-11,101.8223
2020-12-14,101.0565
2020-12-15,102.1505
2020-12-16,101.8497
2020-12-17,102.9437
2020-12-18,103.0258
2020-12-21,101.9950
2020-12-22,101.6837
2020-12-23,101.7569
2020-12-24,102.0499
2020-12-28,102.3062
2020-12-29,102.7914
2020-12-30,102.7731
2020-12-31,103.8534
2021-01-04,103.4048
2021-01-05,104.1555
2021-01-06,105.5837
2021-01-07,106.9569
2021-01-08,107.4696
2021-01-11,107.9731
2021-01-12,106.8013
2021-01-13,107.0942
2021-01-14,106.7555
2021-01-15,107.0851
2021-01-19,107.8907
2021-01-20,108.4858
2021-01-21,107.9731
2021-01-22,107.6527
2021-01-25,108.3576
2021-01-26,107.9548
2021-01-27,104.6773
2021-01-28,106.2062
2021-01-29,105.3090
2021-02-01,105.7118
2021-02-02,106.0140
2021-02-03,105.2633
2021-02-04,105.7027
2021-02-05,105.8949
2021-02-08,106.0231
2021-02-09,106.1788
2021-02-10,106.3710
2021-02-11,106.5724
2021-02-12,107.3689
2021-02-16,106.3069
2021-02-17,106.6914
2021-02-18,106.0231
2021-02-19,104.7414
2021-02-22,104.4942
2021-02-23,104.3203
2021-02-24,105.0435
2021-02-25,103.9907
2021-02-26,103.0935
2021-03-01,104.4393
2021-03-02,104.1372
2021-03-03,102.8189
2021-03-04,101.4365
2021-03-05,103.4689
2021-03-08,103.2126
2021-03-09,103.8168
2021-03-10,104.0548
2021-03-11,104.6865
2021-03-12,104.9154
2021-03-15,105.6386
2021-03-16,105.5745
2021-03-17,105.1900
2021-03-18,104.9703
2021-03-19,105.3457
2021-03-22,106.2625
2021-03-23,105.1876
2021-03-24,105.0682
2021-03-25,105.5092
2021-03-26,107.5027
2021-03-29,108.0080
2021-03-30,107.0342
2021-03-31,107.2455
2021-04-01,106.9239
2021-04-05,107.6680
2021-04-06,107.2546
2021-04-07,107.0158
2021-04-08,107.1812
2021-04-09,108.3571
2021-04-12,108.4673
2021-04-13,108.9174
2021-04-14,108.9083
2021-04-15,110.7732
2021-04-16,111.6000
2021-04-19,111.6275
2021-04-20,112.0593
2021-04-21,113.3822
2021-04-22,112.8769
2021-04-23,113.6210
2021-04-26,113.2352
2021-04-27,112.5829
2021-04-28,112.2430
2021-04-29,111.7929
2021-04-30,111.4622
2021-05-03,112.7299
2021-05-04,112.8493
2021-05-05,113.0515
2021-05-06,113.1984
2021-05-07,113.9793
2021-05-10,114.1263
2021-05-11,112.8953
2021-05-12,111.8296
2021-05-13,112.8402
2021-05-14,113.4097
2021-05-17,113.1984
2021-05-18,113.2352
2021-05-19,113.0423
2021-05-20,114.2273
2021-05-21,114.2457
2021-05-24,114.3560
2021-05-25,114.0161
2021-05-26,113.3546
2021-05-27,113.1066
2021-05-28,113.5475
2021-06-01,111.6826
2021-06-02,111.4622
2021-06-03,111.8021
2021-06-04,112.1603
2021-06-07,112.5646
2021-06-08,112.2155
2021-06-09,113.2995
2021-06-10,115.2379
2021-06-11,114.4203
2021-06-14,114.5213
2021-06-15,114.5581
2021-06-16,114.1171
2021-06-17,114.9898
2021-06-18,113.6761
2021-06-21,115.0420
2021-06-22,115.2910
2021-06-23,114.8114
2021-06-24,115.4017
2021-06-25,115.9274
2021-06-28,116.1026
2021-06-29,116.2317
2021-06-30,116.1579
2021-07-01,117.1909
2021-07-02,118.3160
2021-07-06,118.2053
2021-07-07,118.9524
2021-07-08,118.2976
2021-07-09,118.7034
2021-07-12,118.9339
2021-07-13,118.8232
2021-07-14,118.7126
2021-07-15,118.2976
2021-07-16,118.6204
2021-07-19,117.3753
2021-07-20,118.8048
2021-07-21,118.9985
2021-07-22,119.8746
2021-07-23,121.2580
2021-07-26,120.4741
2021-07-27,121.0367
2021-07-28,121.4701
2021-07-29,121.7652
2021-07-30,121.8759
2021-08-02,122.0419
2021-08-03,123.7389
2021-08-04,123.2132
2021-08-05,122.7059
2021-08-06,122.6045
2021-08-09,123.0748
2021-08-10,122.7889
2021-08-11,121.5716
2021-08-12,122.5307
2021-08-13,123.2962
2021-08-16,124.6980
