date,XLY.US
2019-04-01,53.9063
2019-04-02,53.8969
2019-04-03,54.2762
2019-04-04,54.7165
2019-04-05,55.0396
2019-04-08,55.2364
2019-04-09,54.7399
2019-04-10,55.0022
2019-04-11,55.0724
2019-04-12,55.4143
2019-04-15,55.5267
2019-04-16,55.7703
2019-04-17,55.8780
2019-04-18,55.8592
2019-04-22,55.6485
2019-04-23,56.3135
2019-04-24,56.3651
2019-04-25,56.0700
2019-04-26,56.5149
2019-04-29,56.3182
2019-04-30,56.2339
2019-05-01,55.5501
2019-05-02,55.5923
2019-05-03,56.2480
2019-05-06,55.9061
2019-05-07,55.0584
2019-05-08,55.0771
2019-05-09,54.8523
2019-05-10,54.9319
2019-05-13,53.2974
2019-05-14,53.8360
2019-05-15,54.2013
2019-05-16,54.7024
2019-05-17,54.2856
2019-05-20,53.9016
2019-05-21,54.2762
2019-05-22,53.7189
2019-05-23,53.0539
2019-05-24,53.1241
2019-05-28,52.7729
2019-05-29,52.3045
2019-05-30,52.6464
2019-05-31,51.9580
2019-06-03,51.5224
2019-06-04,52.9181
2019-06-05,53.1803
2019-06-06,53.4520
2019-06-07,54.2247
2019-06-10,54.6837
2019-06-11,54.8945
2019-06-12,54.8804
2019-06-13,55.3722
2019-06-14,55.4939
2019-06-17,55.5174
2019-06-18,55.9389
2019-06-19,56.0419
2019-06-20,56.4306
2019-06-21,56.1693
2019-06-24,55.8686
2019-06-25,55.3328
2019-06-26,55.5114
2019-06-27,55.8592
2019-06-28,56.0189
2019-07-01,56.5124
2019-07-02,56.6346
2019-07-03,57.1280
2019-07-05,57.1938
2019-07-08,57.2643
2019-07-09,57.3254
2019-07-10,57.5322
2019-07-11,57.6497
2019-07-12,58.3123
2019-07-15,58.5003
2019-07-16,58.4251
2019-07-17,57.8659
2019-07-18,57.7907
2019-07-19,57.4100
2019-07-22,57.4429
2019-07-23,57.8330
2019-07-24,58.1244
2019-07-25,57.8001
2019-07-26,58.0633
2019-07-29,57.7813
2019-07-30,57.3912
2019-07-31,56.7333
2019-08-01,55.9625
2019-08-02,55.5020
2019-08-05,54.0122
2019-08-06,54.8346
2019-08-07,55.0555
2019-08-08,56.1176
2019-08-09,55.5913
2019-08-12,54.7830
2019-08-13,55.6853
2019-08-14,53.9417
2019-08-15,53.8524
2019-08-16,54.4634
2019-08-19,55.1495
2019-08-20,55.1636
2019-08-21,56.2257
2019-08-22,56.2398
2019-08-23,54.7454
2019-08-26,55.2858
2019-08-27,55.0132
2019-08-28,55.6994
2019-08-29,56.5359
2019-08-30,56.1975
2019-09-03,55.9672
2019-09-04,56.5218
2019-09-05,57.6027
2019-09-06,57.7437
2019-09-09,57.9646
2019-09-10,57.7343
2019-09-11,57.8424
2019-09-12,58.1197
2019-09-13,58.0022
2019-09-16,57.2596
2019-09-17,57.6074
2019-09-18,57.5792
2019-09-19,57.4241
2019-09-20,56.7659
2019-09-23,56.9639
2019-09-24,56.3557
2019-09-25,56.8696
2019-09-26,56.6244
2019-09-27,56.4264
2019-09-30,56.9120
2019-10-01,56.4358
2019-10-02,55.4221
2019-10-03,55.6908
2019-10-04,56.2142
2019-10-07,55.9690
2019-10-08,55.3796
2019-10-09,55.8511
2019-10-10,56.2236
2019-10-11,56.8602
2019-10-14,56.8319
2019-10-15,57.3317
2019-10-16,57.5675
2019-10-17,57.7183
2019-10-18,57.6052
2019-10-21,57.8079
2019-10-22,57.4401
2019-10-23,57.1761
2019-10-24,57.1478
2019-10-25,57.0818
2019-10-28,57.2610
2019-10-29,56.9356
2019-10-30,57.2893
2019-10-31,56.9828
2019-11-01,57.3600
2019-11-04,57.3883
2019-11-05,57.4732
2019-11-06,57.5344
2019-11-07,57.1902
2019-11-08,57.2138
2019-11-11,57.0959
2019-11-12,57.0582
2019-11-13,56.8790
2019-11-14,57.1242
2019-11-15,57.2280
2019-11-18,57.4260
2019-11-19,56.7942
2019-11-20,56.6621
2019-11-21,56.3415
2019-11-22,56.7282
2019-11-25,57.2280
2019-11-26,57.6193
2019-11-27,58.1144
2019-11-29,57.7372
2019-12-02,57.2610
2019-12-03,56.6857
2019-12-04,57.0016
2019-12-05,56.9451
2019-12-06,57.4024
2019-12-09,57.4732
2019-12-10,57.3741
2019-12-11,57.5203
2019-12-12,58.0248
2019-12-13,58.0767
2019-12-16,58.3313
2019-12-17,58.5906
2019-12-18,58.6472
2019-12-19,58.8311
2019-12-20,58.9210
2019-12-23,58.7838
2019-12-24,58.9163
2019-12-26,59.6353
2019-12-27,59.6306
2019-12-30,59.2474
2019-12-31,59.3326
2020-01-02,60.0375
2020-01-03,59.5265
2020-01-06,59.6921
2020-01-07,59.5975
2020-01-08,59.7773
2020-01-09,60.0942
2020-01-10,59.7678
2020-01-13,59.9570
2020-01-14,59.9381
2020-01-15,59.8009
2020-01-16,60.3355
2020-01-17,60.5484
2020-01-21,60.3639
2020-01-22,60.3355
2020-01-23,60.4254
2020-01-24,59.5833
2020-01-27,58.6939
2020-01-28,59.2663
2020-01-29,59.2332
2020-01-30,59.1339
2020-01-31,59.2853
2020-02-03,59.7063
2020-02-04,60.7944
2020-02-05,61.1019
2020-02-06,60.9647
2020-02-07,60.6998
2020-02-10,61.3857
2020-02-11,61.8682
2020-02-12,62.5022
2020-02-13,62.3933
2020-02-14,62.2987
2020-02-18,62.2940
2020-02-19,62.5731
2020-02-20,62.5968
2020-02-21,61.6412
2020-02-24,59.5218
2020-02-25,57.9323
2020-02-26,57.4734
2020-02-27,55.1506
2020-02-28,54.7958
2020-03-02,56.6786
2020-03-03,55.3067
2020-03-04,57.2179
2020-03-05,55.0844
2020-03-06,54.2376
2020-03-09,50.8220
2020-03-10,53.6321
2020-03-11,50.6990
2020-03-12,45.5757
2020-03-13,48.3952
2020-03-16,42.2642
2020-03-17,43.8915
2020-03-18,41.3701
2020-03-19,42.8129
2020-03-20,41.5404
2020-03-23,41.6088
2020-03-24,45.5116
2020-03-25,46.3102
2020-03-26,48.2259
2020-03-27,46.6097
2020-03-30,47.5842
2020-03-31,46.6239
2020-04-01,44.5418
2020-04-02,44.7082
2020-04-03,43.9286
2020-04-06,47.5842
2020-04-07,48.2925
2020-04-08,49.8136
2020-04-09,50.7121
2020-04-13,50.6978
2020-04-14,52.6801
2020-04-15,51.5250
2020-04-16,52.1429
2020-04-17,53.6831
2020-04-20,52.7467
2020-04-21,51.3776
2020-04-22,52.4852
2020-04-23,52.4709
2020-04-24,53.3599
2020-04-27,54.3582
2020-04-28,54.5721
2020-04-29,55.7747
2020-04-30,55.4277
2020-05-01,53.3551
2020-05-04,53.6451
2020-05-05,53.8400
2020-05-06,53.8305
2020-05-07,54.6766
2020-05-08,55.7415
2020-05-11,55.6179
2020-05-12,54.4009
2020-05-13,53.4645
2020-05-14,54.2631
2020-05-15,54.8953
2020-05-18,56.9727
2020-05-19,56.7683
2020-05-20,57.5098
2020-05-21,57.7142
2020-05-22,57.6287
2020-05-26,58.5414
2020-05-27,59.5444
2020-05-28,58.8218
2020-05-29,59.0358
2020-06-01,59.5967
2020-06-02,60.1053
2020-06-03,61.2415
2020-06-04,60.9325
2020-06-05,62.3918
2020-06-08,63.3426
2020-06-09,62.8482
2020-06-10,62.2587
2020-06-11,58.9977
2020-06-12,59.5824
2020-06-15,60.1481
2020-06-16,61.4126
2020-06-17,61.2510
2020-06-18,61.0275
2020-06-19,60.5522
2020-06-22,61.1745
2020-06-23,61.6557
2020-06-24,60.2977
2020-06-25,60.3787
2020-06-26,58.9636
2020-06-29,60.0833
2020-06-30,60.8505
2020-07-01,61.4651
2020-07-02,61.7081
2020-07-06,63.1709
2020-07-07,62.1798
2020-07-08,62.8421
2020-07-09,62.7706
2020-07-10,63.5187
2020-07-13,62.7135
2020-07-14,63.3376
2020-07-15,64.2429
2020-07-16,64.0714
2020-07-17,63.7712
2020-07-20,64.7909
2020-07-21,64.8909
2020-07-22,65.4484
2020-07-23,64.4669
2020-07-24,64.5812
2020-07-27,64.9815
2020-07-28,64.3382
2020-07-29,64.9910
2020-07-30,64.9386
2020-07-31,65.2769
2020-08-03,65.1387
2020-08-04,65.6628
2020-08-05,66.4633
