date,XLP.US
2020-04-24,49.7297
2020-04-27,49.8737
2020-04-28,50.1532
2020-04-29,49.9415
2020-04-30,49.3485
2020-05-01,48.8064
2020-05-04,48.7810
2020-05-05,48.8234
2020-05-06,48.2897
2020-05-07,48.1542
2020-05-08,49.2299
2020-05-11,49.1622
2020-05-12,48.7471
2020-05-13,48.3067
2020-05-14,48.1881
2020-05-15,48.6116
2020-05-18,49.3824
2020-05-19,48.4761
2020-05-20,49.0521
2020-05-21,48.5100
2020-05-22,48.6794
2020-05-26,48.9419
2020-05-27,49.6789
2020-05-28,50.1193
2020-05-29,50.1702
2020-06-01,50.5174
2020-06-02,50.6530
2020-06-03,50.7207
2020-06-04,50.4751
2020-06-05,51.1781
2020-06-08,51.7287
2020-06-09,51.3052
2020-06-10,51.1612
2020-06-11,49.2215
2020-06-12,49.2299
2020-06-15,49.7975
2020-06-16,50.5767
2020-06-17,50.5005
2020-06-18,50.7631
2020-06-19,50.5005
2020-06-22,50.3562
2020-06-23,50.2794
2020-06-24,49.4343
2020-06-25,49.7843
2020-06-26,48.7685
2020-06-29,49.6904
2020-06-30,50.0575
2020-07-01,50.1001
2020-07-02,50.3562
2020-07-06,50.6038
2020-07-07,51.0648
2020-07-08,50.9367
2020-07-09,50.5355
2020-07-10,51.4660
2020-07-13,51.3891
2020-07-14,52.1403
2020-07-15,52.1830
2020-07-16,52.2940
2020-07-17,52.5757
2020-07-20,52.0464
2020-07-21,52.4989
2020-07-22,52.9172
2020-07-23,53.1050
2020-07-24,53.0367
2020-07-27,53.3013
2020-07-28,53.4976
2020-07-29,53.5745
2020-07-30,53.5745
2020-07-31,53.5232
2020-08-03,53.3781
2020-08-04,54.0440
2020-08-05,53.9330
2020-08-06,53.9244
2020-08-07,54.2147
2020-08-10,54.4964
2020-08-11,54.1208
2020-08-12,54.8208
2020-08-13,54.7781
2020-08-14,54.7696
2020-08-17,55.0769
2020-08-18,55.2988
2020-08-19,54.8635
2020-08-20,54.7525
2020-08-21,54.8891
2020-08-24,55.3586
2020-08-25,55.2391
2020-08-26,55.3073
2020-08-27,55.6488
2020-08-28,56.1439
2020-08-31,55.9817
2020-09-01,56.0415
2020-09-02,57.0573
2020-09-03,56.0756
2020-09-04,55.9476
2020-09-08,54.7696
2020-09-09,55.5634
2020-09-10,54.8805
2020-09-11,55.1878
2020-09-14,55.5464
2020-09-15,55.4695
2020-09-16,55.2220
2020-09-17,54.8720
2020-09-18,54.3683
2020-09-21,53.9536
2020-09-22,54.2713
2020-09-23,53.4555
2020-09-24,53.8505
2020-09-25,54.1339
2020-09-28,54.7436
2020-09-29,54.3829
2020-09-30,55.0442
2020-10-01,55.3533
2020-10-02,55.0442
2020-10-05,55.4134
2020-10-06,55.0527
2020-10-07,55.6453
2020-10-08,56.0145
2020-10-09,56.4525
2020-10-12,57.1051
2020-10-13,57.0622
2020-10-14,56.7702
2020-10-15,56.8045
2020-10-16,56.8217
2020-10-19,56.0832
2020-10-20,56.0231
2020-10-21,56.0746
2020-10-22,56.0489
2020-10-23,56.1519
2020-10-26,55.4306
2020-10-27,55.2846
2020-10-28,53.6702
2020-10-29,53.6530
2020-10-30,53.4641
2020-11-02,54.3142
2020-11-03,55.2073
2020-11-04,55.2331
2020-11-05,55.6367
2020-11-06,55.8943
2020-11-09,55.7655
2020-11-10,56.8646
2020-11-11,57.3541
2020-11-12,57.1996
2020-11-13,57.9896
2020-11-16,58.5220
2020-11-17,58.1098
2020-11-18,57.3112
2020-11-19,57.4658
2020-11-20,57.1051
2020-11-23,57.1223
2020-11-24,57.5087
2020-11-25,57.4743
2020-11-27,57.4658
2020-11-30,57.4572
2020-12-01,57.9638
2020-12-02,57.4829
2020-12-03,57.6289
2020-12-04,58.0754
2020-12-07,57.8522
2020-12-08,58.1699
2020-12-09,57.9381
2020-12-10,57.6804
2020-12-11,57.8092
2020-12-14,57.5860
2020-12-15,57.7234
2020-12-16,57.8350
2020-12-17,58.2043
2020-12-18,58.3331
2020-12-21,57.7044
2020-12-22,57.2974
2020-12-23,57.4879
2020-12-24,57.7737
2020-12-28,58.2326
2020-12-29,58.0594
2020-12-30,57.9988
2020-12-31,58.4058
2021-01-04,57.7737
2021-01-05,57.7737
2021-01-06,57.8170
2021-01-07,57.6438
2021-01-08,57.9296
2021-01-11,57.4360
2021-01-12,57.2455
2021-01-13,57.3321
2021-01-14,57.0290
2021-01-15,56.8298
2021-01-19,56.5787
2021-01-20,56.6826
2021-01-21,56.4921
2021-01-22,56.3449
2021-01-25,56.9078
2021-01-26,57.4187
2021-01-27,56.4488
2021-01-28,56.6653
2021-01-29,55.4963
2021-02-01,55.5483
2021-02-02,55.9206
2021-02-03,56.0072
2021-02-04,56.4142
2021-02-05,56.9424
2021-02-08,57.1589
2021-02-09,57.1069
2021-02-10,57.0463
2021-02-11,56.7952
2021-02-12,56.8818
2021-02-16,56.7779
2021-02-17,56.9857
2021-02-18,56.9511
2021-02-19,56.2324
2021-02-22,56.2843
2021-02-23,56.3622
2021-02-24,56.3276
2021-02-25,55.7128
2021-02-26,54.8123
2021-03-01,55.3664
2021-03-02,55.2712
2021-03-03,55.0114
2021-03-04,54.8123
2021-03-05,56.0245
2021-03-08,56.2670
2021-03-09,56.2150
2021-03-10,56.9511
2021-03-11,56.8125
2021-03-12,57.2801
2021-03-15,57.5312
2021-03-16,57.6005
2021-03-17,57.5139
2021-03-18,57.2801
2021-03-19,57.4793
2021-03-22,58.0861
2021-03-23,58.3298
2021-03-24,58.1035
2021-03-25,58.6694
2021-03-26,59.7054
2021-03-29,60.3061
2021-03-30,59.6619
2021-03-31,59.4703
2021-04-01,59.1830
2021-04-05,59.9404
2021-04-06,60.1929
2021-04-07,60.0449
2021-04-08,60.1059
2021-04-09,60.0014
2021-04-12,60.3235
2021-04-13,60.0014
2021-04-14,59.9492
2021-04-15,60.4280
2021-04-16,60.7762
2021-04-19,60.5412
2021-04-20,60.8720
2021-04-21,61.1767
2021-04-22,60.7240
2021-04-23,60.5673
2021-04-26,59.8882
2021-04-27,59.8447
2021-04-28,59.8882
2021-04-29,60.5237
2021-04-30,60.5760
2021-05-03,61.0722
2021-05-04,60.7588
2021-05-05,60.7153
2021-05-06,61.4988
2021-05-07,61.4988
2021-05-10,61.9689
2021-05-11,61.4292
2021-05-12,60.6108
2021-05-13,61.4640
2021-05-14,61.7339
2021-05-17,61.6468
2021-05-18,61.4553
2021-05-19,61.2550
2021-05-20,61.8209
2021-05-21,61.8296
2021-05-24,62.0125
2021-05-25,62.0299
2021-05-26,61.8993
2021-05-27,61.5162
2021-05-28,61.6468
2021-06-01,61.4379
2021-06-02,61.6642
2021-06-03,62.0473
2021-06-04,62.2649
2021-06-07,62.1605
2021-06-08,61.6381
2021-06-09,61.3421
2021-06-10,61.7252
2021-06-11,61.7600
2021-06-14,61.7252
2021-06-15,61.5772
2021-06-16,60.7588
2021-06-17,60.9765
2021-06-18,59.8969
2021-06-21,60.5839
2021-06-22,60.6715
2021-06-23,60.2947
2021-06-24,60.5927
2021-06-25,61.0571
2021-06-28,61.1096
2021-06-29,60.8380
2021-06-30,61.3112
2021-07-01,61.1272
2021-07-02,61.2761
2021-07-06,61.0220
2021-07-07,61.3462
2021-07-08,61.1184
2021-07-09,61.4689
2021-07-12,61.3725
2021-07-13,61.3550
2021-07-14,61.8983
2021-07-15,62.1524
2021-07-16,62.2488
2021-07-19,62.0648
2021-07-20,62.0823
2021-07-21,61.9246
2021-07-22,61.8194
2021-07-23,62.5642
2021-07-26,62.6694
2021-07-27,62.8008
2021-07-28,62.2488
2021-07-29,62.5555
2021-07-30,62.6606
2021-08-02,62.3977
2021-08-03,62.6781
2021-08-04,61.8632
2021-08-05,62.1611
2021-08-06,62.1611
2021-08-09,62.3890
2021-08-10,62.8359
2021-08-11,63.0462
2021-08-12,63.0111
2021-08-13,63.5369
2021-08-16,63.9049
