date,XLRE.US
2020-11-30,29.9863
2020-12-01,30.3642
2020-12-02,30.0438
2020-12-03,30.2656
2020-12-04,30.6682
2020-12-07,30.3642
2020-12-08,30.2245
2020-12-09,29.9452
2020-12-10,29.7809
2020-12-11,29.7973
2020-12-14,29.5837
2020-12-15,30.1013
2020-12-16,30.1095
2020-12-17,30.4628
2020-12-18,29.9370
2020-12-21,29.6676
2020-12-22,29.8756
2020-12-23,29.5927
2020-12-24,29.8840
2020-12-28,30.1253
2020-12-29,29.8923
2020-12-30,30.0587
2020-12-31,30.4249
2021-01-04,29.4429
2021-01-05,29.4096
2021-01-06,29.2681
2021-01-07,29.3597
2021-01-08,29.6759
2021-01-11,29.1766
2021-01-12,29.2016
2021-01-13,29.6010
2021-01-14,29.7841
2021-01-15,30.2418
2021-01-19,30.0421
2021-01-20,30.6662
2021-01-21,30.5664
2021-01-22,30.6413
2021-01-25,30.9159
2021-01-26,31.2321
2021-01-27,30.8327
2021-01-28,30.9159
2021-01-29,30.5913
2021-02-01,31.2820
2021-02-02,31.4152
2021-02-03,31.2904
2021-02-04,31.4651
2021-02-05,31.5733
2021-02-08,31.6399
2021-02-09,31.7814
2021-02-10,31.9977
2021-02-11,31.9395
2021-02-12,31.9312
2021-02-16,31.5900
2021-02-17,31.6149
2021-02-18,31.5983
2021-02-19,31.6981
2021-02-22,31.8812
2021-02-23,31.9977
2021-02-24,32.1475
2021-02-25,31.6232
2021-02-26,31.0740
2021-03-01,31.1073
2021-03-02,30.9159
2021-03-03,30.5331
2021-03-04,30.3084
2021-03-05,30.6579
2021-03-08,30.8077
2021-03-09,31.1572
2021-03-10,31.4651
2021-03-11,31.9312
2021-03-12,32.4804
2021-03-15,32.8466
2021-03-16,32.8466
2021-03-17,32.7966
2021-03-18,32.5886
2021-03-19,32.1558
2021-03-22,32.5108
2021-03-23,32.6117
2021-03-24,32.4688
2021-03-25,32.7461
2021-03-26,33.5446
2021-03-29,33.4690
2021-03-30,33.3261
2021-03-31,33.1916
2021-04-01,33.7211
2021-04-05,33.8976
2021-04-06,33.9817
2021-04-07,34.0237
2021-04-08,33.8556
2021-04-09,33.9060
2021-04-12,34.1078
2021-04-13,34.3095
2021-04-14,34.0994
2021-04-15,34.7466
2021-04-16,34.7970
2021-04-19,34.9063
2021-04-20,35.2929
2021-04-21,35.4526
2021-04-22,35.3013
2021-04-23,35.5030
2021-04-26,35.5787
2021-04-27,35.5787
2021-04-28,35.4526
2021-04-29,35.7131
2021-04-30,35.9485
2021-05-03,35.7552
2021-05-04,35.5366
2021-05-05,35.0155
2021-05-06,35.1836
2021-05-07,35.6123
2021-05-10,35.7720
2021-05-11,35.3517
2021-05-12,34.4944
2021-05-13,34.9315
2021-05-14,35.2593
2021-05-17,35.2761
2021-05-18,35.3433
2021-05-19,35.2088
2021-05-20,35.6459
2021-05-21,35.5871
2021-05-24,35.9737
2021-05-25,36.0746
2021-05-26,36.1586
2021-05-27,36.1166
2021-05-28,36.3603
2021-06-01,36.9823
2021-06-02,37.4950
2021-06-03,37.4194
2021-06-04,37.4530
2021-06-07,37.8060
2021-06-08,38.0077
2021-06-09,38.0497
2021-06-10,38.4364
2021-06-11,38.1926
2021-06-14,38.4112
2021-06-15,38.0582
2021-06-16,37.7135
2021-06-17,37.8564
2021-06-18,37.2597
2021-06-21,38.0002
2021-06-22,37.8310
2021-06-23,37.7126
2021-06-24,37.5349
2021-06-25,37.8056
2021-06-28,37.8225
2021-06-29,37.7972
2021-06-30,37.5011
2021-07-01,37.6534
2021-07-02,37.8310
2021-07-06,38.1694
2021-07-07,38.3640
2021-07-08,38.3301
2021-07-09,38.8377
2021-07-12,39.1761
2021-07-13,38.6685
2021-07-14,39.0069
2021-07-15,39.0661
2021-07-16,39.1084
2021-07-19,38.4993
2021-07-20,39.1930
2021-07-21,39.0746
2021-07-22,38.7954
2021-07-23,39.1507
2021-07-26,39.1507
2021-07-27,39.4637
2021-07-28,39.2268
2021-07-29,39.1084
2021-07-30,39.2353
2021-08-02,39.2522
2021-08-03,39.4129
2021-08-04,39.2860
2021-08-05,39.5990
2021-08-06,39.5314
2021-08-09,39.3537
2021-08-10,38.9307
2021-08-11,39.1422
2021-08-12,39.2776
2021-08-13,39.5398
