date,XLC.US
2022-11-18,47.5557
2022-11-21,47.1620
2022-11-22,47.8629
2022-11-23,48.4678
2022-11-25,48.1990
2022-11-28,47.4309
2022-11-29,47.4501
2022-11-30,49.4568
2022-12-01,49.7448
2022-12-02,49.8696
2022-12-05,49.0823
2022-12-06,47.6709
2022-12-07,47.4309
2022-12-08,47.3348
2022-12-09,47.4693
2022-12-12,47.8437
2022-12-13,48.6502
2022-12-14,48.0165
2022-12-15,46.1443
2022-12-16,46.1347
2022-12-19,45.0547
2022-12-20,45.3627
2022-12-21,45.9595
2022-12-22,45.5649
2022-12-23,46.0076
2022-12-27,45.5937
2022-12-28,44.9296
2022-12-29,46.1712
2022-12-30,46.1905
2023-01-03,46.7872
2023-01-04,47.6631
2023-01-05,47.7305
2023-01-06,48.5101
2023-01-09,48.5871
2023-01-10,49.3186
2023-01-11,49.6748
2023-01-12,50.2234
2023-01-13,50.3870
2023-01-17,49.9154
2023-01-18,49.3090
2023-01-19,49.5593
2023-01-20,51.1089
2023-01-23,52.0040
2023-01-24,51.8596
2023-01-25,52.0425
2023-01-26,52.8510
2023-01-27,53.2168
2023-01-30,52.3794
2023-01-31,53.0146
