date,XLK.US
2019-07-19,37.9841
2019-07-22,38.4219
2019-07-23,38.6337
2019-07-24,38.9538
2019-07-25,38.7938
2019-07-26,38.8785
2019-07-29,38.8550
2019-07-30,38.6055
2019-07-31,38.0218
2019-08-01,37.8288
2019-08-02,37.2121
2019-08-05,35.6587
2019-08-06,36.2518
2019-08-07,36.4777
2019-08-08,37.3722
2019-08-09,36.9485
2019-08-12,36.4636
2019-08-13,37.3769
2019-08-14,36.2282
2019-08-15,36.1623
2019-08-16,36.8496
2019-08-19,37.4098
2019-08-20,37.2215
2019-08-21,37.6593
2019-08-22,37.5699
2019-08-23,36.3271
2019-08-26,36.8308
2019-08-27,36.7743
2019-08-28,36.8073
2019-08-29,37.4475
2019-08-30,37.4381
2019-09-03,36.9814
2019-09-04,37.6122
2019-09-05,38.3984
2019-09-06,38.3654
2019-09-09,38.0783
2019-09-10,37.8853
2019-09-11,38.2807
2019-09-12,38.4878
2019-09-13,38.2054
2019-09-16,38.1112
2019-09-17,38.2666
2019-09-18,38.2619
2019-09-19,38.3466
2019-09-20,37.8994
2019-09-23,38.0175
2019-09-24,37.6491
2019-09-25,38.0977
2019-09-26,38.1402
2019-09-27,37.6302
2019-09-30,38.0269
2019-10-01,37.6727
2019-10-02,36.9644
2019-10-03,37.4178
2019-10-04,38.0363
2019-10-07,37.8758
2019-10-08,37.1816
2019-10-09,37.7341
2019-10-10,37.9938
2019-10-11,38.5180
2019-10-14,38.4944
2019-10-15,38.9194
2019-10-16,38.6502
2019-10-17,38.5747
2019-10-18,38.2063
2019-10-21,38.6172
2019-10-22,38.0977
2019-10-23,38.1308
2019-10-24,38.6880
2019-10-25,39.1555
2019-10-28,39.6513
2019-10-29,39.2924
2019-10-30,39.5332
2019-10-31,39.5096
2019-11-01,39.9818
2019-11-04,40.1896
2019-11-05,40.1424
2019-11-06,40.1235
2019-11-07,40.4399
2019-11-08,40.6665
2019-11-11,40.6854
2019-11-12,40.8224
2019-11-13,40.9121
2019-11-14,40.8649
2019-11-15,41.1954
2019-11-18,41.3182
2019-11-19,41.3985
2019-11-20,41.1482
2019-11-21,40.9404
2019-11-22,40.8885
2019-11-25,41.4835
2019-11-26,41.5212
2019-11-27,41.7526
2019-11-29,41.6298
2019-12-02,41.0349
2019-12-03,40.6713
2019-12-04,40.8365
2019-12-05,40.9876
2019-12-06,41.4410
2019-12-09,41.2237
2019-12-10,41.2568
2019-12-11,41.5354
2019-12-12,41.9793
2019-12-13,42.2579
2019-12-16,42.6356
2019-12-17,42.5365
2019-12-18,42.5318
2019-12-19,42.8387
2019-12-20,43.0874
2019-12-23,43.2106
2019-12-24,43.2248
2019-12-26,43.5470
2019-12-27,43.5422
2019-12-30,43.2911
2019-12-31,43.4285
2020-01-02,44.2434
2020-01-03,43.7459
2020-01-06,43.8502
2020-01-07,43.8312
2020-01-08,44.3002
2020-01-09,44.8024
2020-01-10,44.6982
2020-01-13,45.2572
2020-01-14,45.0440
2020-01-15,45.0961
2020-01-16,45.7025
2020-01-17,46.0104
2020-01-21,45.9915
2020-01-22,46.1573
2020-01-23,46.3752
2020-01-24,46.1573
2020-01-27,45.0582
2020-01-28,45.9204
2020-01-29,46.0389
2020-01-30,46.4368
2020-01-31,45.1624
2020-02-03,45.7594
2020-02-04,46.9579
2020-02-05,47.2327
2020-02-06,47.6638
2020-02-07,47.2280
2020-02-10,47.8675
2020-02-11,47.7065
2020-02-12,48.2228
2020-02-13,48.0949
2020-02-14,48.3034
2020-02-18,48.1234
2020-02-19,48.6966
2020-02-20,48.1897
2020-02-21,47.1095
2020-02-24,45.1624
2020-02-25,43.7175
2020-02-26,43.9165
2020-02-27,41.5477
2020-02-28,41.8651
2020-03-02,44.2860
2020-03-03,42.6042
2020-03-04,44.4329
2020-03-05,43.0306
2020-03-06,42.1210
2020-03-09,38.9232
2020-03-10,41.5193
2020-03-11,39.5580
2020-03-12,35.6969
2020-03-13,39.8849
2020-03-16,34.3752
2020-03-17,36.7155
2020-03-18,35.3322
2020-03-19,35.4601
2020-03-20,33.8351
2020-03-23,33.5260
2020-03-24,36.9596
2020-03-25,36.9120
2020-03-26,39.1978
2020-03-27,37.4263
2020-03-30,39.0026
2020-03-31,38.2740
2020-04-01,36.4500
2020-04-02,37.3025
2020-04-03,36.7263
2020-04-06,39.8598
2020-04-07,39.5026
2020-04-08,40.5646
2020-04-09,40.5741
2020-04-13,40.6646
2020-04-14,42.3695
2020-04-15,41.4456
2020-04-16,41.9504
2020-04-17,42.5076
2020-04-20,41.8266
2020-04-21,40.0741
2020-04-22,41.6171
2020-04-23,41.3313
2020-04-24,42.2076
2020-04-27,42.5695
2020-04-28,42.0028
2020-04-29,43.7267
2020-04-30,43.5315
2020-05-01,42.3362
2020-05-04,42.8981
2020-05-05,43.4886
2020-05-06,43.8267
2020-05-07,44.4839
2020-05-08,45.1363
2020-05-11,45.4364
2020-05-12,44.4982
2020-05-13,43.7315
2020-05-14,44.2887
2020-05-15,44.5125
2020-05-18,45.6030
2020-05-19,45.4364
2020-05-20,46.4317
2020-05-21,45.7840
