date,XLI.US
2019-08-21,67.0615
2019-08-22,67.1599
2019-08-23,65.3631
2019-08-26,65.8458
2019-08-27,65.5061
2019-08-28,66.3107
2019-08-29,67.4459
2019-08-30,67.7230
2019-09-03,66.8023
2019-09-04,67.6515
2019-09-05,68.8673
2019-09-06,69.0103
2019-09-09,69.2159
2019-09-10,69.8506
2019-09-11,70.5031
2019-09-12,70.5478
2019-09-13,70.9322
2019-09-16,70.8696
2019-09-17,70.8339
2019-09-18,70.7266
2019-09-19,70.3690
2019-09-20,69.9242
2019-09-23,69.7894
2019-09-24,69.3940
2019-09-25,69.8433
2019-09-26,69.9422
2019-09-27,69.6636
2019-09-30,69.7624
2019-10-01,68.0909
2019-10-02,66.8059
2019-10-03,67.2462
2019-10-04,67.9472
2019-10-07,67.6057
2019-10-08,66.5632
2019-10-09,67.1294
2019-10-10,67.7405
2019-10-11,69.0166
2019-10-14,68.8818
2019-10-15,69.4389
2019-10-16,69.4030
2019-10-17,69.7445
2019-10-18,69.1424
2019-10-21,69.5558
2019-10-22,70.1039
2019-10-23,70.0949
2019-10-24,70.1938
2019-10-25,70.6341
2019-10-28,70.8318
2019-10-29,71.0655
2019-10-30,71.3171
2019-10-31,70.5533
2019-11-01,72.0900
2019-11-04,72.9257
2019-11-05,73.0785
2019-11-06,73.1234
2019-11-07,73.3750
2019-11-08,73.4739
2019-11-11,73.5098
2019-11-12,73.5008
2019-11-13,73.1953
2019-11-14,73.4289
2019-11-15,73.9681
2019-11-18,73.6896
2019-11-19,73.6267
2019-11-20,73.0425
2019-11-21,73.0156
2019-11-22,73.3930
2019-11-25,73.9232
2019-11-26,74.1389
2019-11-27,74.0670
2019-11-29,73.7255
2019-12-02,72.5123
2019-12-03,71.7215
2019-12-04,72.0001
2019-12-05,72.0181
2019-12-06,72.8898
2019-12-09,72.6112
2019-12-10,72.5213
2019-12-11,72.9796
2019-12-12,73.6267
2019-12-13,73.4289
2019-12-16,73.3930
2019-12-17,73.3211
2019-12-18,73.0156
2019-12-19,73.2133
2019-12-20,73.5501
2019-12-23,74.1552
2019-12-24,73.8572
2019-12-26,74.0288
2019-12-27,73.9656
2019-12-30,73.6224
2019-12-31,73.5772
2020-01-02,74.9680
2020-01-03,74.8235
2020-01-06,74.8506
2020-01-07,74.6971
2020-01-08,74.9500
2020-01-09,75.2661
2020-01-10,74.7332
2020-01-13,75.3473
2020-01-14,75.3564
2020-01-15,75.4738
2020-01-16,76.2234
2020-01-17,76.2324
2020-01-21,75.3925
2020-01-22,74.9951
2020-01-23,75.8079
2020-01-24,75.4557
2020-01-27,74.0288
2020-01-28,74.5074
2020-01-29,74.9048
2020-01-30,74.9861
2020-01-31,73.2521
2020-02-03,73.2250
2020-02-04,74.6068
2020-02-05,75.8531
